year;state;state_po;state_fips;state_cen;state_ic;office;district;stage;special;candidate;party_detailed;writein;mode;candidatevotes;totalvotes;unofficial;version;party_simplified
1992;IDAHO;ID;16;82;63;US SENATE;statewide;gen;FALSE;RICHARD H. STALLINGS;DEMOCRAT;FALSE;total;208036;478504;FALSE;20210114;DEMOCRAT
1996;TEXAS;TX;48;74;49;US SENATE;statewide;gen;FALSE;JOHN HUFF;NATURAL LAW;FALSE;total;19469;5527441;FALSE;20210114;OTHER
1978;MINNESOTA;MN;27;41;33;US SENATE;statewide;gen;TRUE;DAVID DURENBERGER;REPUBLICAN;FALSE;total;957908;1558376;FALSE;20210114;REPUBLICAN
2010;FLORIDA;FL;12;59;43;US SENATE;statewide;gen;FALSE;KENDRICK B. MEEK;DEMOCRAT;FALSE;total;1092936;5411106;FALSE;20210114;DEMOCRAT
1986;CONNECTICUT;CT;9;16;1;US SENATE;statewide;gen;FALSE;EDWARD J. MCCALLUM, JR.;NONE;FALSE;total;3800;976933;FALSE;20210114;OTHER
1988;NEW YORK;NY;36;21;13;US SENATE;statewide;gen;FALSE;CHARLENE MITCHELL;INDEPENDENT PROGRESSIVE LINE;FALSE;total;14770;6040980;FALSE;20210114;OTHER
1990;NEW MEXICO;NM;35;85;66;US SENATE;statewide;gen;FALSE;TOM R. BENAVIDES;DEMOCRAT;FALSE;total;110033;406938;FALSE;20210114;DEMOCRAT
1980;COLORADO;CO;8;84;62;US SENATE;statewide;gen;FALSE;MARY ESTILL BUCHANAN;REPUBLICAN;FALSE;total;571295;1173142;FALSE;20210114;REPUBLICAN
2002;LOUISIANA;LA;22;72;45;US SENATE;statewide;gen;FALSE;"PATRICK E. ""LIVE WIRE"" LANDRY";OTHER;FALSE;total;10442;2481629;FALSE;20210114;OTHER
1994;VIRGINIA;VA;51;54;40;US SENATE;statewide;gen;FALSE;"OLIVER L. ""OLLIE"" NORTH";REPUBLICAN;FALSE;total;882213;2057463;FALSE;20210114;REPUBLICAN
2000;MASSACHUSETTS;MA;25;14;3;US SENATE;statewide;gen;FALSE;OTHER;;FALSE;total;2473;2734048;FALSE;20210114;OTHER
2002;KANSAS;KS;20;47;32;US SENATE;statewide;gen;FALSE;PAT ROBERTS;REPUBLICAN;FALSE;total;641075;776850;FALSE;20210114;REPUBLICAN
1986;OREGON;OR;41;92;72;US SENATE;statewide;gen;FALSE;RICK BAUMAN;DEMOCRAT;FALSE;total;375735;1042555;FALSE;20210114;DEMOCRAT
1982;CONNECTICUT;CT;9;16;1;US SENATE;statewide;gen;FALSE;LOWELL P. WEICKER, JR.;REPUBLICAN;FALSE;total;545987;1083508;FALSE;20210114;REPUBLICAN
2020;KENTUCKY;KY;21;61;51;US SENATE;statewide;gen;FALSE;MITCH MCCONNELL;REPUBLICAN;FALSE;total;1233315;2135057;FALSE;20210114;REPUBLICAN
1998;IOWA;IA;19;42;31;US SENATE;statewide;gen;FALSE;DAVID OSTERBERG;DEMOCRAT;FALSE;total;289049;947907;FALSE;20210114;DEMOCRAT
2020;KANSAS;KS;20;47;32;US SENATE;statewide;gen;FALSE;ROGER MARSHALL;REPUBLICAN;FALSE;total;727962;1367755;FALSE;20210114;REPUBLICAN
1986;WISCONSIN;WI;55;35;25;US SENATE;statewide;gen;FALSE;ROBERT W. KASTEN JR.;REPUBLICAN;FALSE;total;754573;1483174;FALSE;20210114;REPUBLICAN
1996;OREGON;OR;41;92;72;US SENATE;statewide;gen;FALSE;BRENT THOMPSON;REFORM;FALSE;total;20381;1360230;FALSE;20210114;OTHER
2020;WYOMING;WY;56;83;68;US SENATE;statewide;gen;FALSE;MERAV BEN DAVID;;FALSE;total;72766;278503;FALSE;20210114;OTHER
2012;MAINE;ME;23;11;2;US SENATE;statewide;gen;FALSE;ANDREW IAN DODGE;INDEPENDENT FOR LIBERTY;FALSE;total;5624;724720;FALSE;20210114;OTHER
2002;VIRGINIA;VA;51;54;40;US SENATE;statewide;gen;FALSE;JACOB G. HORNBERGER JR.;INDEPENDENT;FALSE;total;106055;1489422;FALSE;20210114;OTHER
1978;MINNESOTA;MN;27;41;33;US SENATE;statewide;gen;FALSE;RUDOLPH E. BOSCHWITZ;REPUBLICAN;FALSE;total;894092;1580622;FALSE;20210114;REPUBLICAN
1992;PENNSYLVANIA;PA;42;23;14;US SENATE;statewide;gen;FALSE;ARLEN SPECTER;REPUBLICAN;FALSE;total;2358125;4802410;FALSE;20210114;REPUBLICAN
2020;NEW JERSEY;NJ;34;22;12;US SENATE;statewide;gen;FALSE;CORY BOOKER;DEMOCRAT;FALSE;total;2541178;4440440;FALSE;20210114;DEMOCRAT
2000;NEW YORK;NY;36;21;13;US SENATE;statewide;gen;FALSE;JOHN O. ADEFOPE;RIGHT TO LIFE;FALSE;total;21439;6959662;FALSE;20210114;OTHER
2004;NEW YORK;NY;36;21;13;US SENATE;statewide;gen;FALSE;DAVID E. MCREYNOLDS;GREEN;FALSE;total;36942;7447818;FALSE;20210114;OTHER
2012;NORTH DAKOTA;ND;38;44;36;US SENATE;statewide;gen;FALSE;RICK BERG;REPUBLICAN;FALSE;total;158401;321144;FALSE;20210114;REPUBLICAN
1988;ARIZONA;AZ;4;86;61;US SENATE;statewide;gen;FALSE;;;TRUE;total;32;1164539;FALSE;20210114;OTHER
1978;MINNESOTA;MN;27;41;33;US SENATE;statewide;gen;TRUE;;;TRUE;total;878;1558376;FALSE;20210114;OTHER
2006;NEW JERSEY;NJ;34;22;12;US SENATE;statewide;gen;FALSE;GREGORY PASON;SOCIALIST PARTY USA;FALSE;total;47;101973;FALSE;20210114;OTHER
1994;TENNESSEE;TN;47;62;54;US SENATE;statewide;gen;FALSE;BILL FRIST;REPUBLICAN;FALSE;total;834226;1480391;FALSE;20210114;REPUBLICAN
2000;TEXAS;TX;48;74;49;US SENATE;statewide;gen;FALSE;MARY J. RUWART;LIBERTARIAN;FALSE;total;72657;6267964;FALSE;20210114;LIBERTARIAN
2018;NORTH DAKOTA;ND;38;44;36;US SENATE;statewide;gen;FALSE;HEIDI HEITKAMP;DEMOCRATIC-NPL;FALSE;total;144376;326138;FALSE;20210114;DEMOCRAT
2016;ARIZONA;AZ;4;86;61;US SENATE;statewide;gen;FALSE;LEONARD CLARK;INDEPENDENT;TRUE;total;83;2530730;FALSE;20210114;OTHER
2014;OREGON;OR;41;92;72;US SENATE;statewide;gen;FALSE;JAMES E. LEUENBERGER;CONSTITUTION;FALSE;total;24212;1461618;FALSE;20210114;OTHER
2008;MINNESOTA;MN;27;41;33;US SENATE;statewide;gen;FALSE;;;TRUE;total;13;2887646;FALSE;20210114;OTHER
2020;ARIZONA;AZ;4;86;61;US SENATE;statewide;gen;TRUE;"PATRICK ""PAT"" THOMAS";REPUBLICAN;TRUE;total;29;3355307;FALSE;20210114;REPUBLICAN
1980;GEORGIA;GA;13;58;44;US SENATE;statewide;gen;FALSE;HERMAN E. TALMADGE;DEMOCRAT;FALSE;total;776143;1579829;FALSE;20210114;DEMOCRAT
2010;FLORIDA;FL;12;59;43;US SENATE;statewide;gen;FALSE;SUE ASKELAND;NO PARTY AFFILIATION;FALSE;total;15340;5411106;FALSE;20210114;OTHER
2016;LOUISIANA;LA;22;72;45;US SENATE;statewide;gen;FALSE;KAITLIN MARONE;NONE;FALSE;total;4108;1997218;FALSE;20210114;OTHER
2012;NEW JERSEY;NJ;34;22;12;US SENATE;statewide;gen;FALSE;ROBERT ??TURK?? TURKAVAGE;RESPONSIBILITY FAIRNESS INTEGRITY;FALSE;total;3532;3376649;FALSE;20210114;OTHER
2014;TENNESSEE;TN;47;62;54;US SENATE;statewide;gen;FALSE;DANNY PAGE;INDEPENDENT;FALSE;total;7713;1374065;FALSE;20210114;OTHER
1986;KANSAS;KS;20;47;32;US SENATE;statewide;gen;FALSE;GUY MACDONALD;DEMOCRAT;FALSE;total;246664;823566;FALSE;20210114;DEMOCRAT
2004;NEVADA;NV;32;88;65;US SENATE;statewide;gen;FALSE;DAVID K. SCHUMANN;INDEPENDENT AMERICAN;FALSE;total;6001;810068;FALSE;20210114;OTHER
1976;NORTH DAKOTA;ND;38;44;36;US SENATE;statewide;gen;FALSE;ROBERT STROUP;REPUBLICAN;FALSE;total;103466;283062;FALSE;20210114;REPUBLICAN
2008;NORTH CAROLINA;NC;37;56;47;US SENATE;statewide;gen;FALSE;CHRISTOPHER COLE;LIBERTARIAN;FALSE;total;133430;4271970;FALSE;20210114;LIBERTARIAN
1992;NEW YORK;NY;36;21;13;US SENATE;statewide;gen;FALSE;NORMA SEGAL;LIBERTARIAN;FALSE;total;108530;7078805;FALSE;20210114;LIBERTARIAN
1982;TENNESSEE;TN;47;62;54;US SENATE;statewide;gen;FALSE;;;TRUE;total;30;1259785;FALSE;20210114;OTHER
1984;KANSAS;KS;20;47;32;US SENATE;statewide;gen;FALSE;FREDA H. STEELE;PROHIBITION;FALSE;total;4610;996729;FALSE;20210114;OTHER
1976;MAINE;ME;23;11;2;US SENATE;statewide;gen;FALSE;EDMUND S. MUSKIE;DEMOCRAT;FALSE;total;292704;486193;FALSE;20210114;DEMOCRAT
1976;NEW YORK;NY;36;21;13;US SENATE;statewide;gen;FALSE;DANIEL PATRICK MOYNIHAN;LIBERAL;FALSE;total;184083;6666875;FALSE;20210114;OTHER
1990;NORTH CAROLINA;NC;37;56;47;US SENATE;statewide;gen;FALSE;HARVEY B. GANTT;DEMOCRAT;FALSE;total;981573;2069585;FALSE;20210114;DEMOCRAT
1980;SOUTH DAKOTA;SD;46;45;37;US SENATE;statewide;gen;FALSE;GEORGE MCGOVERN;DEMOCRAT;FALSE;total;129018;327478;FALSE;20210114;DEMOCRAT
1980;CALIFORNIA;CA;6;93;71;US SENATE;statewide;gen;FALSE;DAVID BERGLAND;LIBERTARIAN;FALSE;total;202410;8324012;FALSE;20210114;LIBERTARIAN
1986;ALASKA;AK;2;94;81;US SENATE;statewide;gen;FALSE;GLENN OLDS;DEMOCRAT;FALSE;total;79727;180801;FALSE;20210114;DEMOCRAT
2016;MISSOURI;MO;29;43;34;US SENATE;statewide;gen;FALSE;FRED RYMAN;CONSTITUTION;FALSE;total;25407;2802637;FALSE;20210114;OTHER
1992;LOUISIANA;LA;22;72;45;US SENATE;statewide;gen;FALSE;JOHN B. BREAUX;DEMOCRAT;FALSE;total;1;1;FALSE;20210114;DEMOCRAT
1984;MICHIGAN;MI;26;34;23;US SENATE;statewide;gen;FALSE;CARL LEVIN;DEMOCRAT;FALSE;total;1915831;3700938;FALSE;20210114;DEMOCRAT
2014;NEW MEXICO;NM;35;85;66;US SENATE;statewide;gen;FALSE;TOM UDALL;DEMOCRAT;FALSE;total;286409;515506;FALSE;20210114;DEMOCRAT
1986;OKLAHOMA;OK;40;73;53;US SENATE;statewide;gen;FALSE;JAMES R. JONES;DEMOCRAT;FALSE;total;400230;893666;FALSE;20210114;DEMOCRAT
1996;WYOMING;WY;56;83;68;US SENATE;statewide;gen;FALSE;LLOYD MARSDEN;NATURAL LAW;FALSE;total;2569;211077;FALSE;20210114;OTHER
2018;MINNESOTA;MN;27;41;33;US SENATE;statewide;gen;FALSE;PAULA M OVERBY;MINNESOTA GREEN;FALSE;total;23101;2596879;FALSE;20210114;OTHER
1994;TENNESSEE;TN;47;62;54;US SENATE;statewide;gen;TRUE;TERRY L. LYTLE;INDEPENDENT;FALSE;total;1934;1465862;FALSE;20210114;OTHER
1992;COLORADO;CO;8;84;62;US SENATE;statewide;gen;FALSE;HUE FUTCH;LIBERTARIAN;FALSE;total;23;1552289;FALSE;20210114;LIBERTARIAN
2000;MISSISSIPPI;MS;28;64;46;US SENATE;statewide;gen;FALSE;JIM GILES;INDEPENDENT;FALSE;total;9344;994144;FALSE;20210114;OTHER
1990;NEW HAMPSHIRE;NH;33;12;4;US SENATE;statewide;gen;FALSE;;;TRUE;total;585;291393;FALSE;20210114;OTHER
2004;VERMONT;VT;50;13;6;US SENATE;statewide;gen;FALSE;;;TRUE;total;174;307208;FALSE;20210114;OTHER
1986;WISCONSIN;WI;55;35;25;US SENATE;statewide;gen;FALSE;SCATTER;;FALSE;total;1212;1483174;FALSE;20210114;OTHER
1994;PENNSYLVANIA;PA;42;23;14;US SENATE;statewide;gen;FALSE;DIANE BLOUGH;PATRIOT;FALSE;total;69825;3513361;FALSE;20210114;OTHER
2000;MASSACHUSETTS;MA;25;14;3;US SENATE;statewide;gen;FALSE;CARLA A. HOWELL;LIBERTARIAN;FALSE;total;308860;2734048;FALSE;20210114;LIBERTARIAN
1986;SOUTH CAROLINA;SC;45;57;48;US SENATE;statewide;gen;FALSE;HENRY D. MCMASTER;REPUBLICAN;FALSE;total;262886;737962;FALSE;20210114;REPUBLICAN
2018;TENNESSEE;TN;47;62;54;US SENATE;statewide;gen;FALSE;TRUDY A. AUSTIN;INDEPENDENT;FALSE;total;9455;2243740;FALSE;20210114;OTHER
2020;LOUISIANA;LA;22;72;45;US SENATE;statewide;gen;FALSE;PETER WENSTRUP;DEMOCRAT;FALSE;total;14454;2071543;FALSE;20210114;DEMOCRAT
2000;MASSACHUSETTS;MA;25;14;3;US SENATE;statewide;gen;FALSE;BLANK VOTE/SCATTERING;;FALSE;total;134586;2734048;FALSE;20210114;OTHER
1976;MARYLAND;MD;24;52;52;US SENATE;statewide;gen;FALSE;PAUL S. SARBANES;DEMOCRAT;FALSE;total;772101;1365290;FALSE;20210114;DEMOCRAT
2010;ARKANSAS;AR;5;71;42;US SENATE;statewide;gen;FALSE;"STEPHAN ""TROUBLEMAKER"" HERCHER";;TRUE;total;143;779957;FALSE;20210114;OTHER
2012;DELAWARE;DE;10;51;11;US SENATE;statewide;gen;FALSE;ANDREW RICHARD GROFF;GREEN;FALSE;total;3191;399606;FALSE;20210114;OTHER
2002;MONTANA;MT;30;81;64;US SENATE;statewide;gen;FALSE;MIKE TAYLOR;REPUBLICAN;FALSE;total;103611;326537;FALSE;20210114;REPUBLICAN
2018;NEBRASKA;NE;31;46;35;US SENATE;statewide;gen;FALSE;DEB FISCHER;REPUBLICAN;FALSE;total;403151;698883;FALSE;20210114;REPUBLICAN
1984;SOUTH CAROLINA;SC;45;57;48;US SENATE;statewide;gen;FALSE;STEPHEN DAVIS;LIBERTARIAN;FALSE;total;13333;965130;FALSE;20210114;LIBERTARIAN
2012;WASHINGTON;WA;53;91;73;US SENATE;statewide;gen;FALSE;MARIA CANTWELL;DEMOCRAT;FALSE;total;1855493;3069417;FALSE;20210114;DEMOCRAT
2018;PENNSYLVANIA;PA;42;23;14;US SENATE;statewide;gen;FALSE;DALE R KERNS JR;LIBERTARIAN;FALSE;total;50907;4994643;FALSE;20210114;LIBERTARIAN
1988;TENNESSEE;TN;47;62;54;US SENATE;statewide;gen;FALSE;JIM SASSER;DEMOCRAT;FALSE;total;1020061;1567181;FALSE;20210114;DEMOCRAT
1986;IOWA;IA;19;42;31;US SENATE;statewide;gen;FALSE;JOHN O. ROEHRICK;DEMOCRAT;FALSE;total;299406;891762;FALSE;20210114;DEMOCRAT
1980;VERMONT;VT;50;13;6;US SENATE;statewide;gen;FALSE;ANTHONY N. DORIA;INDEPENDENT;FALSE;total;1776;209124;FALSE;20210114;OTHER
2020;GEORGIA;GA;13;58;44;US SENATE;statewide;gen;TRUE;KELLY LOEFFLER;REPUBLICAN;FALSE;total;1273214;4914361;FALSE;20210114;REPUBLICAN
1998;NEW HAMPSHIRE;NH;33;12;4;US SENATE;statewide;gen;FALSE;ROY KENDEL;INDEPENDENT;FALSE;total;4733;314696;FALSE;20210114;OTHER
1978;NORTH CAROLINA;NC;37;56;47;US SENATE;statewide;gen;FALSE;JESSE HELMS;REPUBLICAN;FALSE;total;619151;1135814;FALSE;20210114;REPUBLICAN
2006;NEVADA;NV;32;88;65;US SENATE;statewide;gen;FALSE;DAVID K. SCHUMANN;INDEPENDENT;FALSE;total;7774;582572;FALSE;20210114;OTHER
2006;VERMONT;VT;50;13;6;US SENATE;statewide;gen;FALSE;CRAIG HILL;GREEN;FALSE;total;1536;262419;FALSE;20210114;OTHER
1998;MARYLAND;MD;24;52;52;US SENATE;statewide;gen;FALSE;BARBARA A. MIKULSKI;DEMOCRAT;FALSE;total;1062810;1507447;FALSE;20210114;DEMOCRAT
1992;NORTH CAROLINA;NC;37;56;47;US SENATE;statewide;gen;FALSE;BOBBY YATES EMORY;LIBERTARIAN;FALSE;total;85948;2577891;FALSE;20210114;LIBERTARIAN
1980;KENTUCKY;KY;21;61;51;US SENATE;statewide;gen;FALSE;WENDELL H. FORD;DEMOCRAT;FALSE;total;720891;1106920;FALSE;20210114;DEMOCRAT
1992;ILLINOIS;IL;17;33;21;US SENATE;statewide;gen;FALSE;JOHN JUSTICE;POPULIST;FALSE;total;8656;4939558;FALSE;20210114;OTHER
2006;PENNSYLVANIA;PA;42;23;14;US SENATE;statewide;gen;FALSE;;;TRUE;total;3281;4081043;FALSE;20210114;OTHER
1978;MAINE;ME;23;11;2;US SENATE;statewide;gen;FALSE;JOHN J. JANNACE;INDEPENDENT;FALSE;total;5553;375114;FALSE;20210114;OTHER
2004;NEW HAMPSHIRE;NH;33;12;4;US SENATE;statewide;gen;FALSE;BLANK VOTE/SCATTERING;;FALSE;total;588;657086;FALSE;20210114;OTHER
1994;NEW MEXICO;NM;35;85;66;US SENATE;statewide;gen;FALSE;COLIN R. MCMILLAN;REPUBLICAN;FALSE;total;213025;463196;FALSE;20210114;REPUBLICAN
1976;UTAH;UT;49;87;67;US SENATE;statewide;gen;FALSE;STEVE TROTTER;LIBERTARIAN;FALSE;total;3026;522108;FALSE;20210114;LIBERTARIAN
1994;MASSACHUSETTS;MA;25;14;3;US SENATE;statewide;gen;FALSE;OTHER;;FALSE;total;688;2179945;FALSE;20210114;OTHER
2020;DELAWARE;DE;10;51;11;US SENATE;statewide;gen;FALSE;MARK W. TURLEY;INDEPENDENT PARTY OF DELAWARE;FALSE;total;7833;490935;FALSE;20210114;OTHER
1994;HAWAII;HI;15;95;82;US SENATE;statewide;gen;FALSE;RICHARD (DICK) ROWLAND;LIBERTARIAN;FALSE;total;14393;356902;FALSE;20210114;LIBERTARIAN
2014;KENTUCKY;KY;21;61;51;US SENATE;statewide;gen;FALSE;GREGORY D. WELCH;;TRUE;total;64;1435868;FALSE;20210114;OTHER
2000;CONNECTICUT;CT;9;16;1;US SENATE;statewide;gen;FALSE;WILLIAM KOZAK, JR.;CONCERNED CITIZENS;FALSE;total;25509;1311261;FALSE;20210114;OTHER
1996;NEW MEXICO;NM;35;85;66;US SENATE;statewide;gen;FALSE;PETE V. DOMENICI;REPUBLICAN;FALSE;total;357171;551821;FALSE;20210114;REPUBLICAN
1976;ARIZONA;AZ;4;86;61;US SENATE;statewide;gen;FALSE;BOB FIELD;INDEPENDENT;FALSE;total;10765;741210;FALSE;20210114;OTHER
2016;NEVADA;NV;32;88;65;US SENATE;statewide;gen;FALSE;TONY GUMINA;NONE;FALSE;total;10740;1108294;FALSE;20210114;OTHER
2014;MASSACHUSETTS;MA;25;14;3;US SENATE;statewide;gen;FALSE;BRIAN J. HERR;REPUBLICAN;FALSE;total;791950;2186789;FALSE;20210114;REPUBLICAN
2004;LOUISIANA;LA;22;72;45;US SENATE;statewide;gen;FALSE;SAM HOUSTON MELTON, JR.;DEMOCRAT;FALSE;total;12289;1848056;FALSE;20210114;DEMOCRAT
2006;FLORIDA;FL;12;59;43;US SENATE;statewide;gen;FALSE;;;TRUE;total;78;4793534;FALSE;20210114;OTHER
1992;NEVADA;NV;32;88;65;US SENATE;statewide;gen;FALSE;H. KENT CROMWELL;LIBERTARIAN;FALSE;total;7222;495887;FALSE;20210114;LIBERTARIAN
2018;TENNESSEE;TN;47;62;54;US SENATE;statewide;gen;FALSE;KEVIN LEE MCCANTS;INDEPENDENT;FALSE;total;1927;2243740;FALSE;20210114;OTHER
2020;COLORADO;CO;8;84;62;US SENATE;statewide;gen;FALSE;"STEPHAN ""SEKU"" EVANS";UNITY PARTY;FALSE;total;8971;3235790;FALSE;20210114;OTHER
1998;OREGON;OR;41;92;72;US SENATE;statewide;gen;FALSE;KARYN MOSKOWITZ;PACIFIC;FALSE;total;22024;1117747;FALSE;20210114;OTHER
1988;MISSISSIPPI;MS;28;64;46;US SENATE;statewide;gen;FALSE;TRENT LOTT;REPUBLICAN;FALSE;total;510380;946719;FALSE;20210114;REPUBLICAN
1980;ARIZONA;AZ;4;86;61;US SENATE;statewide;gen;FALSE;JOSEFINA OTERO;SOCIALIST WORKERS;FALSE;total;3266;874238;FALSE;20210114;OTHER
1996;KENTUCKY;KY;21;61;51;US SENATE;statewide;gen;FALSE;STEVEN L. BESHEAR;DEMOCRAT;FALSE;total;560012;1307046;FALSE;20210114;DEMOCRAT
1986;NEVADA;NV;32;88;65;US SENATE;statewide;gen;FALSE;KENT CROMWELL;LIBERTARIAN;FALSE;total;4899;261932;FALSE;20210114;LIBERTARIAN
1990;WYOMING;WY;56;83;68;US SENATE;statewide;gen;FALSE;KATHY HELLING;DEMOCRAT;FALSE;total;56848;157632;FALSE;20210114;DEMOCRAT
1996;ALASKA;AK;2;94;81;US SENATE;statewide;gen;FALSE;TED STEVENS;REPUBLICAN;FALSE;total;177893;231916;FALSE;20210114;REPUBLICAN
1976;NEVADA;NV;32;88;65;US SENATE;statewide;gen;FALSE;BYRON D. YOUNG;INDEPENDENT AMERICAN;FALSE;total;3619;201899;FALSE;20210114;OTHER
