year,state,state_po,state_fips,state_cen,state_ic,office,district,stage,special,candidate,party_detailed,writein,mode,candidatevotes,totalvotes,unofficial,version,party_simplified
2012,FLORIDA,FL,12,59,43,US SENATE,statewide,gen,False,,,True,total,18,8189946,False,20210114,OTHER
2012,MISSISSIPPI,MS,28,64,46,US SENATE,statewide,gen,False,THOMAS CRAMER,CONSTITUTION,False,total,15281,1241568,False,20210114,OTHER
2016,FLORIDA,FL,12,59,43,US SENATE,statewide,gen,False,,,True,total,37,9301820,False,20210114,OTHER
2010,PENNSYLVANIA,PA,42,23,14,US SENATE,statewide,gen,False,JOE SESTAK,DEMOCRAT,False,total,1948716,3977661,False,20210114,DEMOCRAT
2020,GEORGIA,GA,13,58,44,US SENATE,statewide,gen,True,JOHN FORTUIN,GREEN,False,total,15293,4914361,False,20210114,OTHER
1978,ARKANSAS,AR,5,71,42,US SENATE,statewide,gen,False,TOM KELLY,REPUBLICAN,False,total,84308,517138,False,20210114,REPUBLICAN
1986,OKLAHOMA,OK,40,73,53,US SENATE,statewide,gen,False,DON NICKLES,REPUBLICAN,False,total,493436,893666,False,20210114,REPUBLICAN
2014,MICHIGAN,MI,26,34,23,US SENATE,statewide,gen,False,,,True,total,6,3121771,False,20210114,OTHER
1976,CALIFORNIA,CA,6,93,71,US SENATE,statewide,gen,False,JACK MCCOY,AMERICAN INDEPENDENT,False,total,82739,7470586,False,20210114,OTHER
1980,COLORADO,CO,8,84,62,US SENATE,statewide,gen,False,GARY HART,DEMOCRAT,False,total,590501,1173142,False,20210114,DEMOCRAT
2000,FLORIDA,FL,12,59,43,US SENATE,statewide,gen,False,ANDY MARTIN,INDEPENDENT,False,total,15889,5856731,False,20210114,OTHER
2014,ARKANSAS,AR,5,71,42,US SENATE,statewide,gen,False,NATHAN LAFRANCE,LIBERTARIAN,False,total,17210,847505,False,20210114,LIBERTARIAN
1996,OREGON,OR,41,92,72,US SENATE,statewide,gen,False,OTHER,,False,total,1402,1360230,False,20210114,OTHER
2020,ARIZONA,AZ,4,86,61,US SENATE,statewide,gen,True,CHRISTOPHER BECKETT,INDEPENDENT,True,total,59,3355307,False,20210114,OTHER
1994,CONNECTICUT,CT,9,16,1,US SENATE,statewide,gen,False,JOSEPH I. LIEBERMAN,DEMOCRAT,False,total,443793,1079664,False,20210114,DEMOCRAT
1984,WYOMING,WY,56,83,68,US SENATE,statewide,gen,False,AL SIMPSON,REPUBLICAN,False,total,146373,186898,False,20210114,REPUBLICAN
1976,MASSACHUSETTS,MA,25,14,3,US SENATE,statewide,gen,False,H. GRAHAM LOWRY,U.S. LABOR,False,total,15517,2491255,False,20210114,OTHER
2004,LOUISIANA,LA,22,72,45,US SENATE,statewide,gen,False,ARTHUR A. MORRELL,DEMOCRAT,False,total,47222,1848056,False,20210114,DEMOCRAT
1988,TENNESSEE,TN,47,62,54,US SENATE,statewide,gen,False,BILL ANDERSEN,REPUBLICAN,False,total,541033,1567181,False,20210114,REPUBLICAN
2004,NORTH CAROLINA,NC,37,56,47,US SENATE,statewide,gen,False,TOM BAILEY,LIBERTARIAN,False,total,47743,3472082,False,20210114,LIBERTARIAN
1998,MISSOURI,MO,29,43,34,US SENATE,statewide,gen,False,CURT FRAZIER,TAXPAYERS,False,total,15368,1576857,False,20210114,OTHER
1982,NEW YORK,NY,36,21,13,US SENATE,statewide,gen,False,DANIEL P. MOYNIHAN,DEMOCRAT,False,total,3089871,4967729,False,20210114,DEMOCRAT
2004,HAWAII,HI,15,95,82,US SENATE,statewide,gen,False,JIM BREWER,NONPARTISAN,False,total,9269,415347,False,20210114,OTHER
2014,HAWAII,HI,15,95,82,US SENATE,statewide,gen,True,MICHAEL KOKOSKI,LIBERTARIAN,False,total,8941,369703,False,20210114,LIBERTARIAN
2000,GEORGIA,GA,13,58,44,US SENATE,statewide,gen,True,MACK F. MATTINGLY,REPUBLICAN (NOT IDENTIFIED ON BALLOT),False,total,920478,2415743,False,20210114,OTHER
1990,MAINE,ME,23,11,2,US SENATE,statewide,gen,False,OTHER,,False,total,100,520320,False,20210114,OTHER
2006,WEST VIRGINIA,WV,54,55,56,US SENATE,statewide,gen,False,JOHN R. RAESE,REPUBLICAN,False,total,47408,206562,False,20210114,REPUBLICAN
2016,CONNECTICUT,CT,9,16,1,US SENATE,statewide,gen,False,,,True,total,26,1596276,False,20210114,OTHER
1992,WISCONSIN,WI,55,35,25,US SENATE,statewide,gen,False,"ROBERT W. KASTEN, JR.",REPUBLICAN,False,total,1129599,2455124,False,20210114,REPUBLICAN
2002,ALABAMA,AL,1,63,41,US SENATE,statewide,gen,False,JEFF SESSIONS,REPUBLICAN,False,total,792561,1353023,False,20210114,REPUBLICAN
1998,IOWA,IA,19,42,31,US SENATE,statewide,gen,False,BLANK VOTE/SCATTERING,,False,total,275,947907,False,20210114,OTHER
2018,WASHINGTON,WA,53,91,73,US SENATE,statewide,gen,False,SUSAN HUTCHISON,REPUBLICAN,False,total,1282804,3086168,False,20210114,REPUBLICAN
1994,MAINE,ME,23,11,2,US SENATE,statewide,gen,False,PLATO TRUMAN,UNENROLLED,False,total,17205,511733,False,20210114,OTHER
2010,FLORIDA,FL,12,59,43,US SENATE,statewide,gen,False,MARCO RUBIO,REPUBLICAN,False,total,2645743,5411106,False,20210114,REPUBLICAN
1996,IOWA,IA,19,42,31,US SENATE,statewide,gen,False,TOM HARKIN,DEMOCRAT,False,total,634166,1224054,False,20210114,DEMOCRAT
1986,MARYLAND,MD,24,52,52,US SENATE,statewide,gen,False,LINDA CHAVEZ,REPUBLICAN,False,total,437411,1112637,False,20210114,REPUBLICAN
1998,NEVADA,NV,32,88,65,US SENATE,statewide,gen,False,OTHER,,False,total,8113,435864,False,20210114,OTHER
1998,ARIZONA,AZ,4,86,61,US SENATE,statewide,gen,False,BOB PARK,REFORM,False,total,18288,1013280,False,20210114,OTHER
1996,NEW HAMPSHIRE,NH,33,12,4,US SENATE,statewide,gen,False,KEN BLEVENS,LIBERTARIAN,False,total,22261,491873,False,20210114,LIBERTARIAN
1998,LOUISIANA,LA,22,72,45,US SENATE,statewide,gen,False,"""JIM"" DONELON",REPUBLICAN,False,total,306616,969165,False,20210114,REPUBLICAN
2000,CALIFORNIA,CA,6,93,71,US SENATE,statewide,gen,False,GAIL KATHERINE LIGHTFOOT,LIBERTARIAN,False,total,187718,10623608,False,20210114,LIBERTARIAN
2016,NEW YORK,NY,36,21,13,US SENATE,statewide,gen,False,SCATTER,,False,total,3472,7800725,False,20210114,OTHER
1990,KANSAS,KS,20,47,32,US SENATE,statewide,gen,False,NANCY LANDON KASSEBAUM,REPUBLICAN,False,total,578605,786235,False,20210114,REPUBLICAN
1980,GEORGIA,GA,13,58,44,US SENATE,statewide,gen,False,HERMAN E. TALMADGE,DEMOCRAT,False,total,776143,1579829,False,20210114,DEMOCRAT
1988,DELAWARE,DE,10,51,11,US SENATE,statewide,gen,False,"WILLIAM V. ROTH, JR.",REPUBLICAN,False,total,151115,243493,False,20210114,REPUBLICAN
1992,MARYLAND,MD,24,52,52,US SENATE,statewide,gen,False,BARBARA A. MIKULSKI,DEMOCRAT,False,total,1307610,1841298,False,20210114,DEMOCRAT
2006,TENNESSEE,TN,47,62,54,US SENATE,statewide,gen,False,BOB CORKER,REPUBLICAN,False,total,929911,1833695,False,20210114,REPUBLICAN
2014,ARKANSAS,AR,5,71,42,US SENATE,statewide,gen,False,MARK L. PRYOR,DEMOCRAT,False,total,334174,847505,False,20210114,DEMOCRAT
1980,OKLAHOMA,OK,40,73,53,US SENATE,statewide,gen,False,DON NICKLES,REPUBLICAN,False,total,587252,1098294,False,20210114,REPUBLICAN
2008,TEXAS,TX,48,74,49,US SENATE,statewide,gen,False,JOHN CORNYN,REPUBLICAN,False,total,4337469,7912075,False,20210114,REPUBLICAN
2004,INDIANA,IN,18,32,22,US SENATE,statewide,gen,False,MARVIN SCOTT,REPUBLICAN,False,total,903913,2428233,False,20210114,REPUBLICAN
2010,NEW YORK,NY,36,21,13,US SENATE,statewide,gen,False,CHARLES E. SCHUMER,DEMOCRAT,False,total,3047880,4763899,False,20210114,DEMOCRAT
2010,ARIZONA,AZ,4,86,61,US SENATE,statewide,gen,False,RODNEY GLASSMAN,DEMOCRAT,False,total,592011,1708484,False,20210114,DEMOCRAT
2010,ARKANSAS,AR,5,71,42,US SENATE,statewide,gen,False,BLANCHE L. LINCOLN,DEMOCRAT,False,total,288156,779957,False,20210114,DEMOCRAT
2008,TEXAS,TX,48,74,49,US SENATE,statewide,gen,False,YVONNE ADAMS SCHICK,LIBERTARIAN,False,total,185241,7912075,False,20210114,LIBERTARIAN
2016,LOUISIANA,LA,22,72,45,US SENATE,statewide,gen,False,LEROY GILLAM,LIBERTARIAN,False,total,4067,1997218,False,20210114,LIBERTARIAN
1998,CONNECTICUT,CT,9,16,1,US SENATE,statewide,gen,False,WILLIAM KOZAK,CONCERNED CITIZENS,False,total,12261,964457,False,20210114,OTHER
1992,NEW HAMPSHIRE,NH,33,12,4,US SENATE,statewide,gen,False,"KENNETH E. BLEVENS, SR.",INDEPENDENT,False,total,4752,518170,False,20210114,OTHER
1984,NEW JERSEY,NJ,34,22,12,US SENATE,statewide,gen,False,BILL BRADLEY,DEMOCRAT,False,total,1986644,3096456,False,20210114,DEMOCRAT
2006,FLORIDA,FL,12,59,43,US SENATE,statewide,gen,False,ROY TANNER,NONE,False,total,15562,4793534,False,20210114,OTHER
1984,MAINE,ME,23,11,2,US SENATE,statewide,gen,False,OTHER,,False,total,28,551406,False,20210114,OTHER
1982,UTAH,UT,49,87,67,US SENATE,statewide,gen,False,LAWRENCE R. KAUFFMAN,AMERICAN,False,total,953,530802,False,20210114,OTHER
1976,OHIO,OH,39,31,24,US SENATE,statewide,gen,False,EMMA LILA FUNDABURK,INDEPENDENT,False,total,33285,3920613,False,20210114,OTHER
1986,VERMONT,VT,50,13,6,US SENATE,statewide,gen,False,ANTHONY N. DORIA,CONSERVATIVE,False,total,2963,196532,False,20210114,OTHER
2006,MISSOURI,MO,29,43,34,US SENATE,statewide,gen,False,,,True,total,88,2128459,False,20210114,OTHER
2012,TEXAS,TX,48,74,49,US SENATE,statewide,gen,False,JOHN JAY MYERS,LIBERTARIAN,False,total,162354,7864822,False,20210114,LIBERTARIAN
2000,NEW YORK,NY,36,21,13,US SENATE,statewide,gen,False,BLANK VOTE/SCATTERING,,False,total,179823,6959662,False,20210114,OTHER
1998,LOUISIANA,LA,22,72,45,US SENATE,statewide,gen,False,DARRYL PAUL WARD,REPUBLICAN,False,total,7964,969165,False,20210114,REPUBLICAN
1996,WEST VIRGINIA,WV,54,55,56,US SENATE,statewide,gen,False,JOHN D. ROCKEFELLER IV,DEMOCRAT,False,total,456526,595614,False,20210114,DEMOCRAT
1976,NEW JERSEY,NJ,34,22,12,US SENATE,statewide,gen,False,LEIF JOHNSON,LABOR,False,total,6650,2771390,False,20210114,OTHER
2018,NEW MEXICO,NM,35,85,66,US SENATE,statewide,gen,False,MARTIN T HEINRICH,DEMOCRAT,False,total,376998,697012,False,20210114,DEMOCRAT
2016,OHIO,OH,39,31,24,US SENATE,statewide,gen,False,TOM CONNORS,NONE,False,total,93041,5374164,False,20210114,OTHER
2006,NEW YORK,NY,36,21,13,US SENATE,statewide,gen,False,JOHN SPENCER,CONSERVATIVE,False,total,179287,4700632,False,20210114,OTHER
2020,MASSACHUSETTS,MA,25,14,3,US SENATE,statewide,gen,False,EDWARD J. MARKEY,DEMOCRAT,False,total,2357809,3658005,False,20210114,DEMOCRAT
1984,WEST VIRGINIA,WV,54,55,56,US SENATE,statewide,gen,False,JAY ROCKEFELLER,DEMOCRAT,False,total,374233,722212,False,20210114,DEMOCRAT
2000,MICHIGAN,MI,26,34,23,US SENATE,statewide,gen,False,JOHN MANGOPOULOS,U.S. TAXPAYERS,False,total,11628,4167685,False,20210114,OTHER
1994,TENNESSEE,TN,47,62,54,US SENATE,statewide,gen,True,KERRY MARTIN,INDEPENDENT,False,total,1719,1465862,False,20210114,OTHER
2008,LOUISIANA,LA,22,72,45,US SENATE,statewide,gen,False,MARY L. LANDRIEU,DEMOCRAT,False,total,988298,1896574,False,20210114,DEMOCRAT
1994,WEST VIRGINIA,WV,54,55,56,US SENATE,statewide,gen,False,STAN KLOS,REPUBLICAN,False,total,130441,420936,False,20210114,REPUBLICAN
2016,KENTUCKY,KY,21,61,51,US SENATE,statewide,gen,False,,,True,total,36,1903465,False,20210114,OTHER
2002,MINNESOTA,MN,27,41,33,US SENATE,statewide,gen,False,,,True,total,3,2254636,False,20210114,OTHER
1996,NEW JERSEY,NJ,34,22,12,US SENATE,statewide,gen,False,RICHARD J. PEZZULLO,INDEPENDENT,False,total,50971,2883466,False,20210114,OTHER
2020,OREGON,OR,41,92,72,US SENATE,statewide,gen,False,GARY DYE,LIBERTARIAN,False,total,42747,2321249,False,20210114,LIBERTARIAN
2020,ARIZONA,AZ,4,86,61,US SENATE,statewide,gen,True,"WILLIAM ""WILL"" DECKER",INDEPENDENT,True,total,21,3355307,False,20210114,OTHER
2018,MAINE,ME,23,11,2,US SENATE,statewide,gen,False,ERIC L. BRAKEY,REPUBLICAN,False,total,223502,634409,False,20210114,REPUBLICAN
1982,INDIANA,IN,18,32,22,US SENATE,statewide,gen,False,RICHARD G. LUGAR,REPUBLICAN,False,total,978301,1817287,False,20210114,REPUBLICAN
2004,CONNECTICUT,CT,9,16,1,US SENATE,statewide,gen,False,TIMOTHY A. KNIBBS,CONCERNED CITIZENS,False,total,12442,1424726,False,20210114,OTHER
2006,TENNESSEE,TN,47,62,54,US SENATE,statewide,gen,False,JAMES ANTHONY GRAY,INDEPENDENT,False,total,14,1833695,False,20210114,OTHER
2006,WASHINGTON,WA,53,91,73,US SENATE,statewide,gen,False,MARIA CANTWELL,DEMOCRAT,False,total,1184659,2083734,False,20210114,DEMOCRAT
2016,NEW YORK,NY,36,21,13,US SENATE,statewide,gen,False,WENDY LONG,REPUBLICAN,False,total,1723927,7800725,False,20210114,REPUBLICAN
2004,OKLAHOMA,OK,40,73,53,US SENATE,statewide,gen,False,TOM COBURN,REPUBLICAN,False,total,763433,1446846,False,20210114,REPUBLICAN
1998,INDIANA,IN,18,32,22,US SENATE,statewide,gen,False,PAUL HELMKE,REPUBLICAN,False,total,552732,1588617,False,20210114,REPUBLICAN
2002,MONTANA,MT,30,81,64,US SENATE,statewide,gen,False,STAN JONES,LIBERTARIAN,False,total,10420,326537,False,20210114,LIBERTARIAN
2018,NEW JERSEY,NJ,34,22,12,US SENATE,statewide,gen,False,HANK SCHROEDER,ECONOMIC GROWTH,False,total,8854,3169310,False,20210114,OTHER
2012,NEW JERSEY,NJ,34,22,12,US SENATE,statewide,gen,False,DARYL MIKELL BROOKS,REFORM NATION,False,total,2066,3376649,False,20210114,OTHER
1976,UTAH,UT,49,87,67,US SENATE,statewide,gen,False,FRANK E. MOSS,DEMOCRAT,False,total,223948,522108,False,20210114,DEMOCRAT
2000,INDIANA,IN,18,32,22,US SENATE,statewide,gen,False,PAUL HAGER,LIBERTARIAN,False,total,33992,2145209,False,20210114,LIBERTARIAN
2012,TENNESSEE,TN,47,62,54,US SENATE,statewide,gen,False,,,True,total,18,2321477,False,20210114,OTHER
2004,NEVADA,NV,32,88,65,US SENATE,statewide,gen,False,HARRY REID,DEMOCRAT,False,total,494805,810068,False,20210114,DEMOCRAT
2016,LOUISIANA,LA,22,72,45,US SENATE,statewide,gen,False,"CHARLES W. BOUSTANY, JR.",REPUBLICAN,False,total,298008,1997218,False,20210114,REPUBLICAN
2002,TENNESSEE,TN,47,62,54,US SENATE,statewide,gen,False,JOHN JAY HOOKER,INDEPENDENT,False,total,6401,1642432,False,20210114,OTHER
1998,COLORADO,CO,8,84,62,US SENATE,statewide,gen,False,KEVIN SWANSON,AMERICAN CONSTITUTION,False,total,9775,1327235,False,20210114,OTHER
2010,COLORADO,CO,8,84,62,US SENATE,statewide,gen,False,CHARLEY MILLER,UNAFFILIATED,False,total,11330,1772286,False,20210114,OTHER
2012,TENNESSEE,TN,47,62,54,US SENATE,statewide,gen,False,TROY STEPHEN SCOGGIN,INDEPENDENT,False,total,7148,2321477,False,20210114,OTHER
2010,PENNSYLVANIA,PA,42,23,14,US SENATE,statewide,gen,False,PAT TOOMEY,REPUBLICAN,False,total,2028945,3977661,False,20210114,REPUBLICAN
1976,CONNECTICUT,CT,9,16,1,US SENATE,statewide,gen,False,"LOWELL P. WEICKER, JR.",REPUBLICAN,False,total,785683,1361666,False,20210114,REPUBLICAN
1994,MINNESOTA,MN,27,41,33,US SENATE,statewide,gen,False,CANDICE E. SJOSTROM,GRASSROOTS,False,total,15920,1772929,False,20210114,OTHER
1976,CONNECTICUT,CT,9,16,1,US SENATE,statewide,gen,False,GLORIA SCHAFFER,DEMOCRAT,False,total,561018,1361666,False,20210114,DEMOCRAT
1976,FLORIDA,FL,12,59,43,US SENATE,statewide,gen,False,LAWTON CHILES,DEMOCRAT,False,total,1799518,2857534,False,20210114,DEMOCRAT
1980,WISCONSIN,WI,55,35,25,US SENATE,statewide,gen,False,ROBERT W. KASTEN JR.,REPUBLICAN,False,total,1106311,2204202,False,20210114,REPUBLICAN
1984,COLORADO,CO,8,84,62,US SENATE,statewide,gen,False,NANCY DICK,DEMOCRAT,False,total,449327,1297809,False,20210114,DEMOCRAT
2008,GEORGIA,GA,13,58,44,US SENATE,statewide,pre,False,JIM MARTIN,DEMOCRAT,False,total,1757393,3752485,False,20210114,DEMOCRAT
1994,WISCONSIN,WI,55,35,25,US SENATE,statewide,gen,False,SCATTER,,False,total,538,1565628,False,20210114,OTHER
2014,OREGON,OR,41,92,72,US SENATE,statewide,gen,False,OTHER,,False,total,6672,1461618,False,20210114,OTHER
2002,NORTH CAROLINA,NC,37,56,47,US SENATE,statewide,gen,False,ERSKINE B. BOWLES,DEMOCRAT,False,total,1047983,2331181,False,20210114,DEMOCRAT
2012,MISSOURI,MO,29,43,34,US SENATE,statewide,gen,False,,,True,total,9,2725793,False,20210114,OTHER
2020,COLORADO,CO,8,84,62,US SENATE,statewide,gen,False,JOHN W. HICKENLOOPER,DEMOCRAT,False,total,1731114,3235790,False,20210114,DEMOCRAT
2014,MINNESOTA,MN,27,41,33,US SENATE,statewide,gen,False,,,True,total,881,1981528,False,20210114,OTHER
2020,GEORGIA,GA,13,58,44,US SENATE,statewide,gen,True,MICHAEL TODD GREENE,INDEPENDENT,False,total,13293,4914361,False,20210114,OTHER
2012,CONNECTICUT,CT,9,16,1,US SENATE,statewide,gen,False,CHRISTOPHER S. MURPHY,WORKING FAMILIES,False,total,35778,1511764,False,20210114,OTHER
1988,PENNSYLVANIA,PA,42,23,14,US SENATE,statewide,gen,False,JOHN HEINZ,REPUBLICAN,False,total,2901715,4366598,False,20210114,REPUBLICAN
2018,TEXAS,TX,48,74,49,US SENATE,statewide,gen,False,TED CRUZ,REPUBLICAN,False,total,4260553,8371655,False,20210114,REPUBLICAN
2010,CALIFORNIA,CA,6,93,71,US SENATE,statewide,gen,False,DUANE ROBERTS,GREEN,False,total,128510,10000160,False,20210114,OTHER
1990,KANSAS,KS,20,47,32,US SENATE,statewide,gen,False,DICK WILLIAMS,DEMOCRAT,False,total,207491,786235,False,20210114,DEMOCRAT
1992,NEVADA,NV,32,88,65,US SENATE,statewide,gen,False,HARRY REID,DEMOCRAT,False,total,253150,495887,False,20210114,DEMOCRAT
2010,UTAH,UT,49,87,67,US SENATE,statewide,gen,False,SCOTT N. BRADLEY,CONSTITUTION,False,total,33095,585230,False,20210114,OTHER
1980,NEW YORK,NY,36,21,13,US SENATE,statewide,gen,False,ALFONSE M. D'AMATO,CONSERVATIVE,False,total,275100,6014914,False,20210114,OTHER
1986,NEW HAMPSHIRE,NH,33,12,4,US SENATE,statewide,gen,False,ENDICOTT PEABODY,DEMOCRAT,False,total,79222,244735,False,20210114,DEMOCRAT
2020,NEW JERSEY,NJ,34,22,12,US SENATE,statewide,gen,False,CORY BOOKER,DEMOCRAT,False,total,2541178,4440440,False,20210114,DEMOCRAT
1986,OREGON,OR,41,92,72,US SENATE,statewide,gen,False,RICK BAUMAN,DEMOCRAT,False,total,375735,1042555,False,20210114,DEMOCRAT
2002,KENTUCKY,KY,21,61,51,US SENATE,statewide,gen,False,LOIS COMBS WEINBERG,DEMOCRAT,False,total,399634,1131313,False,20210114,DEMOCRAT
2006,MISSISSIPPI,MS,28,64,46,US SENATE,statewide,gen,False,TRENT LOTT,REPUBLICAN,False,total,388399,610921,False,20210114,REPUBLICAN
1998,NEW YORK,NY,36,21,13,US SENATE,statewide,gen,False,ALFONSE D'AMATO,REPUBLICAN,False,total,1680203,4989877,False,20210114,REPUBLICAN
2016,LOUISIANA,LA,22,72,45,US SENATE,statewide,gen,False,JOSHUA PELLERIN,DEMOCRAT,False,total,7395,1997218,False,20210114,DEMOCRAT
2014,KANSAS,KS,20,47,32,US SENATE,statewide,gen,False,GREG ORMAN,INDEPENDENT,False,total,368372,866191,False,20210114,OTHER
2004,GEORGIA,GA,13,58,44,US SENATE,statewide,gen,False,DENISE L. MAJETTE,DEMOCRAT,False,total,1287690,3220981,False,20210114,DEMOCRAT
1986,UTAH,UT,49,87,67,US SENATE,statewide,gen,False,CRAIG S. OLIVER,DEMOCRAT,False,total,115523,435111,False,20210114,DEMOCRAT
