year,state,state_po,state_fips,state_cen,state_ic,office,district,stage,special,candidate,party_detailed,writein,mode,candidatevotes,totalvotes,unofficial,version,party_simplified
2004,WISCONSIN,WI,55,35,25,US SENATE,statewide,gen,False,BLANK VOTE/SCATTERING,,False,total,834,2949743,False,20210114,OTHER
2010,LOUISIANA,LA,22,72,45,US SENATE,statewide,gen,False,MILTON GORDON,NO PARTY,False,total,4810,1264994,False,20210114,OTHER
1976,NEW MEXICO,NM,35,85,66,US SENATE,statewide,gen,False,"HARRISON ""JACK"" SCHMITT",REPUBLICAN,False,total,234681,413056,False,20210114,REPUBLICAN
2020,LOUISIANA,LA,22,72,45,US SENATE,statewide,gen,False,ADRIAN PERKINS,DEMOCRAT,False,total,394049,2071543,False,20210114,DEMOCRAT
2012,CONNECTICUT,CT,9,16,1,US SENATE,statewide,gen,False,LINDA E. MCMAHON,INDEPENDENT,False,total,46520,1511764,False,20210114,OTHER
2006,NEW JERSEY,NJ,34,22,12,US SENATE,statewide,gen,False,ROBERT MENENDEZ,DEMOCRAT,False,total,58333,101973,False,20210114,DEMOCRAT
2008,MAINE,ME,23,11,2,US SENATE,statewide,gen,False,SUSAN M. COLLINS,REPUBLICAN,False,total,444300,724430,False,20210114,REPUBLICAN
2014,KENTUCKY,KY,21,61,51,US SENATE,statewide,gen,False,,,True,total,17,1435868,False,20210114,OTHER
1992,WISCONSIN,WI,55,35,25,US SENATE,statewide,gen,False,"MERVIN A. HANSON, SR.",INDEPENDENT,False,total,3264,2455124,False,20210114,OTHER
1984,MONTANA,MT,30,81,64,US SENATE,statewide,gen,False,CHUCK COZZENS,REPUBLICAN,False,total,154308,379155,False,20210114,REPUBLICAN
1982,VERMONT,VT,50,13,6,US SENATE,statewide,gen,False,MICHAEL EDWARD HACKETT,INDEPENDENT,False,total,1463,168002,False,20210114,OTHER
1976,DELAWARE,DE,10,51,11,US SENATE,statewide,gen,False,JOHN A. MASSIMILLA,PROHIBITION,False,total,216,224795,False,20210114,OTHER
2018,FLORIDA,FL,12,59,43,US SENATE,statewide,gen,False,RICK SCOTT,REPUBLICAN,False,total,4099505,8190005,False,20210114,REPUBLICAN
1996,MICHIGAN,MI,26,34,23,US SENATE,statewide,gen,False,,,True,total,304,3762575,False,20210114,OTHER
2012,CONNECTICUT,CT,9,16,1,US SENATE,statewide,gen,False,CHRISTOPHER S. MURPHY,WORKING FAMILIES,False,total,35778,1511764,False,20210114,OTHER
